name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Morocco,2021-09-18,26,16.9,21.2,26,16.9,21.2,18.3,84.7,0,0,0,,0,0,33.5,20.5,0.7,1015.1,30.8,7.7,229.4,19.9,7,,2021-09-18T07:12:39,2021-09-18T19:29:42,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
Morocco,2021-09-19,25,15,20.9,25,15,20.9,16.8,78.8,0,0,0,,0,0,29.9,17.7,343.3,1016.1,37.8,6,211,18.1,7,,2021-09-19T07:13:21,2021-09-19T19:28:18,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
Morocco,2021-09-20,25,13.8,19.8,25,13.8,19.8,16.8,84.8,0,0,0,,0,0,30.2,13,325.4,1016.4,47.1,6.4,226.5,19.4,7,,2021-09-20T07:14:02,2021-09-20T19:26:53,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
Morocco,2021-09-21,26,15,20.5,26,15,20.5,17.9,86.5,0,0,0,,0,0,31.3,13,320.6,1013.3,72,6.2,225.5,19.5,7,,2021-09-21T07:14:44,2021-09-21T19:25:29,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
Morocco,2021-09-22,26,18,22.1,26,18,22.1,19,84,0.1,100,4.17,rain,0,0,25.2,15.9,268.7,1011.4,58.4,6.9,210.9,18.2,7,,2021-09-22T07:15:26,2021-09-22T19:24:05,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
Morocco,2021-09-23,27,15,21.2,28.2,15,21.3,18.4,84.8,0,0,0,,0,0,29.5,13.1,286.2,1011.4,64.2,5.8,144.4,12.4,8,,2021-09-23T07:16:08,2021-09-23T19:22:41,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
Morocco,2021-09-24,24,15,20.2,24,15,20.2,17.5,85.5,0.1,100,4.17,rain,0,0,28.1,14.8,325.4,1014.2,70,5.5,110.7,9.7,4,,2021-09-24T07:16:50,2021-09-24T19:21:17,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
Morocco,2021-09-25,25,14,19.4,25,14,19.4,15.5,80.6,0,0,0,,0,0,29.5,16.6,9.6,1017.8,15.9,8.1,244.5,21,8,,2021-09-25T07:17:32,2021-09-25T19:19:53,0.64,Clear,Clear conditions throughout the day.,clear-day,"60146099999,60120099999,60135099999,GMME"
Morocco,2021-09-26,25,15,19.9,25,15,19.9,16.4,82.5,0,0,0,,0,0,32,22.3,27.5,1019.4,20.6,7.6,222.3,19.2,8,,2021-09-26T07:18:15,2021-09-26T19:18:29,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
Morocco,2021-09-27,24.1,14,18.9,24.1,14,18.9,16,84.5,0,0,0,,0,0,29.2,16.6,1.4,1020.1,30.6,7.6,211.4,18.2,7,,2021-09-27T07:18:57,2021-09-27T19:17:06,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
Morocco,2021-09-28,24.9,14,19.5,24.9,14,19.5,16.4,84.2,0,0,0,,0,0,30.6,14.8,339.3,1020.3,54.2,6,175.3,15.2,7,,2021-09-28T07:19:40,2021-09-28T19:15:43,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
Morocco,2021-09-29,24.8,14,19.8,24.8,14,19.8,17.5,87.6,0,0,0,,0,0,31.3,18.4,15.2,1019.6,35.7,5.8,199.8,17.3,7,,2021-09-29T07:20:23,2021-09-29T19:14:20,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
Morocco,2021-09-30,28,16,21.3,29.2,16,21.4,18.2,84.5,0,0,0,,0,0,27.7,11.2,303.1,1018.1,34.7,4.4,232.1,20,8,,2021-09-30T07:21:07,2021-09-30T19:12:57,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
Morocco,2021-10-01,25,15,21.6,25,15,21.6,19.3,87.7,0,0,0,,0,0,27.4,11.2,325.2,1018.6,71.2,4,211.2,18.3,8,,2021-10-01T07:21:50,2021-10-01T19:11:35,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
Morocco,2021-10-02,25,15,20.1,25,15,20.1,17.7,87,0,0,0,,0,0,23.8,12.9,328.2,1016.8,69.8,5.7,204.2,17.5,7,,2021-10-02T07:22:34,2021-10-02T19:10:13,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
Morocco,2021-10-03,25,15,20.7,25,15,20.7,16.3,77,0.3,100,4.17,rain,0,0,32,14.8,272.3,1017,70.3,6.8,189.6,16.3,8,,2021-10-03T07:23:18,2021-10-03T19:08:51,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
Morocco,2021-10-04,24,13,19.4,24,13,19.4,13.9,73.4,0.6,100,4.17,rain,0,0,36.4,22.3,34.9,1019,51.2,6.4,199.8,17.3,7,,2021-10-04T07:24:02,2021-10-04T19:07:30,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
Morocco,2021-10-05,24,10,17.3,24,10,17.3,12.1,74.4,0,0,0,,0,0,38.9,24.1,12.6,1018.2,8.1,7.7,205.3,17.7,7,,2021-10-05T07:24:46,2021-10-05T19:06:09,0.97,Clear,Clear conditions throughout the day.,clear-day,"60146099999,60120099999,60135099999,F3955,GMME"
Morocco,2021-10-06,26,13,19.2,26,13,19.2,13.3,72.7,0,0,0,,0,0,24.1,18.4,355.7,1016.2,27.8,8,180,15.6,7,,2021-10-06T07:25:31,2021-10-06T19:04:49,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
Morocco,2021-10-07,25,13,18.7,25,13,18.7,15.7,83.9,0,0,0,,0,0,28.8,13,269.2,1015,48,6,201.2,17.5,7,,2021-10-07T07:26:16,2021-10-07T19:03:29,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
Morocco,2021-10-08,24,15,20,24,15,20,16.8,83.3,0,0,0,,0,0,25.6,13,271.8,1015.3,67.8,4.9,190.7,16.5,7,,2021-10-08T07:27:02,2021-10-08T19:02:10,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
Morocco,2021-10-09,25,15,20,25,15,20,17.9,88.4,0,0,0,,0,0,29.5,14.7,357,1014.6,48.9,4.3,193.7,16.9,7,,2021-10-09T07:27:47,2021-10-09T19:00:51,0.11,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
