,item_id,timestamp,Unnamed: 0,tempmax,tempmin,temp,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,moonphase,icon_clear-day,icon_cloudy,icon_fog,icon_partly-cloudy-day,icon_wind
5254,Rabat,2021-09-22,1.1962185027532357,0.6501980253350452,0.710702085635663,0.8145171829082887,1.1845795788128342,0.6509468229890217,-0.18573075223500504,1.8512670056759968,0.10738468434443807,0.0,-0.023076720100108163,-0.9658433689884358,-0.5819750891492633,0.038084927477661436,-0.1649525820693693,0.04878539599174674,0.09761285332375508,-0.17289444915370658,0.2313865037956166,False,False,False,False,False
5255,Rabat,2021-09-23,1.1967757906650704,0.5860536663032169,0.6662859174726968,0.7633457145688474,1.1377973144040627,0.6541818954905441,-0.1991251595168319,-0.5402575090353564,-0.28244706269740266,0.0,-0.023076720100108163,-0.451827185346469,-0.9982596176001329,0.03899562916163408,-0.1171960666737289,0.08538840712290541,-0.6083263603877157,-0.19437945061681716,0.3352797794091349,False,False,False,True,False
5256,Rabat,2021-09-24,1.1973330785769052,0.5242883672751018,0.6187232173332479,0.7106161981584397,1.0867045763960874,0.6540207873628513,-0.18573075223500504,1.8512670056759968,0.10738468434443807,0.0,-0.023076720100108163,-0.6191812916485044,-0.7455154396121049,0.03431903792123575,-0.07387714340870837,0.11455318801747835,-0.8008552368544803,-0.21404672672161412,0.4391730550226536,False,False,False,False,False
5257,Rabat,2021-09-25,1.19789036648874,0.4664811228516947,0.5686940196135015,0.657380848098592,1.0325385968214411,0.6509801946876554,-0.1991251595168319,-0.5402575090353564,-0.28244706269740266,0.0,-0.023076720100108163,-0.451827185346469,-0.4779039570365458,0.025017582597726646,-0.036263281142188714,0.13509244441808668,0.8677283591908134,-0.23179580019754534,0.5430663306361723,True,False,False,False,False
5258,Rabat,2021-09-26,1.1984476544005747,0.4140796508124265,0.5170218996115388,0.6047356604927353,0.9766729758443861,0.6456727166826405,-0.1991251595168319,-0.5402575090353564,-0.28244706269740266,0.0,-0.023076720100108163,-0.15298056694997672,0.369532404452724,0.01216610475819215,-0.005475715889741127,0.1462159476913699,0.5468468984128722,-0.24762132547284332,0.6815906981208639,False,False,False,True,False
5259,Rabat,2021-09-27,1.1990049423124094,0.36834685577331616,0.46464721048373153,0.553781375588057,0.9205656505665292,0.6387799374909198,-0.1991251595168319,-0.5402575090353564,-0.28244706269740266,0.0,-0.023076720100108163,-0.48768877955404816,-0.4779039570365458,-0.003090267774904242,0.017555277071718264,0.14756455760666762,0.5468468984128722,-0.26161649866385733,0.7854839737343822,False,False,False,True,False
5260,Rabat,2021-09-28,1.1995622302242441,0.3303136246050604,0.4125943944480737,0.5055832865375681,0.865702758965195,0.6310232482139188,-0.1991251595168319,-0.5402575090353564,-0.28244706269740266,0.0,-0.023076720100108163,-0.3203346732520122,-0.7455154396121049,-0.019579639590697473,0.03213014460742612,0.13922522639107918,-0.4799737760765392,-0.273971713315942,0.8893772493479009,False,False,False,True,False
5261,Rabat,2021-09-29,1.2001195181360789,0.3007398146997464,0.36193447956267605,0.4611313769422347,0.813540542739798,0.6231336022676394,-0.1991251595168319,-0.5402575090353564,-0.28244706269740266,0.0,-0.023076720100108163,-0.23665762010099445,-0.2102924744609873,-0.0361467998949132,0.037813191430245516,0.12172619211706394,-0.6083263603877157,-0.2849684611352631,0.9240083412190737,False,False,False,True,False
5262,Rabat,2021-09-30,1.2006768060479136,0.28008499292408046,0.3137441102380233,0.4213022871535745,0.7654475361914582,0.6158214232356315,-0.1991251595168319,-0.5402575090353564,-0.28244706269740266,0.0,-0.023076720100108163,-0.6669967505919435,-1.2807384047632229,-0.051695164891356775,0.03445760001884153,0.09601243432026417,-1.5067944505659505,-0.29496869683164506,1.1317948924461112,False,False,False,True,False
5263,Rabat,2021-10-01,1.2012340939597481,0.2684901163933112,0.269062649235398,0.386824570495792,0.7226493044255828,0.6097478605278907,-0.1991251595168319,-0.5402575090353564,-0.28244706269740266,0.0,-0.023076720100108163,-0.7028583447995227,-1.2807384047632229,-0.06522582934187672,0.02222107734095261,0.06340233454090642,-1.7634996191883037,-0.30440009769433685,1.2356881680596294,False,False,False,True,False
5264,Rabat,2021-10-02,1.2017913818715829,0.26577093017784603,0.22884902177780067,0.3582486058128625,0.6861779215265681,0.6054985159819193,-0.1991251595168319,-0.5402575090353564,-0.28244706269740266,0.0,-0.023076720100108163,-1.1331974752904712,-1.027994226775195,-0.07587245373163873,0.0015711614465940334,0.025527321279514535,-0.6725026525433038,-0.3137378420819341,1.3395814436731481,False,False,False,True,False
5265,Rabat,2021-10-03,1.2023486697834176,0.27142340790359415,0.19394004113800498,0.33592238458829876,0.6568282198041003,0.6035606477178003,-0.15894193767135134,1.8512670056759968,0.10738468434443807,0.0,-0.023076720100108163,-0.15298056694997672,-0.7455154396121049,-0.08293086247015109,-0.02672043902301793,-0.015742954218928386,0.033436561168166505,-0.3234836978160314,1.4434747192866668,False,False,False,False,False
