name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Morocco,2012-10-25,25.0,18.1,21.0,25.0,18.1,21.0,15.5,71.7,6.1,100.0,4.17,rain,,,57.2,37.1,224.8,1009.6,65.4,5.8,112.0,9.5,6.0,,2012-10-25T06:40:54,2012-10-25T17:41:18,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"60135099999,GMME"
Morocco,2012-10-26,22.4,18.0,19.7,22.4,18.0,19.7,16.9,84.2,3.0,100.0,4.17,rain,,,51.8,36.7,229.9,1008.8,79.1,5.0,147.9,12.5,5.0,,2012-10-26T06:41:46,2012-10-26T17:40:14,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"60135099999,remote,GMME"
Morocco,2012-10-27,21.8,14.8,18.2,21.8,14.8,18.2,16.2,88.8,47.0,100.0,12.5,rain,,,,24.1,247.8,1010.8,73.1,6.7,147.8,12.8,6.0,,2012-10-27T06:42:38,2012-10-27T17:39:11,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"60135099999,remote,GMME"
Morocco,2012-10-28,21.0,14.3,17.3,21.0,14.3,17.3,14.8,86.3,5.9,100.0,8.33,rain,,,,11.2,174.4,1014.3,69.1,7.2,168.1,14.6,7.0,,2012-10-28T06:43:31,2012-10-28T17:38:09,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"60135099999,remote,GMME"
Morocco,2012-10-29,19.0,14.8,16.2,19.0,14.8,16.2,14.0,86.6,0.3,100.0,4.17,rain,,,,22.3,203.5,1011.1,82.5,6.9,51.5,4.6,2.0,,2012-10-29T06:44:24,2012-10-29T17:37:08,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"60135099999,GMMT,GMME"
Morocco,2012-10-30,20.1,16.0,18.4,20.1,16.0,18.4,17.2,92.4,27.6,100.0,16.67,rain,,,70.2,48.2,222.6,1002.4,90.5,4.2,102.2,8.9,5.0,,2012-10-30T06:45:17,2012-10-30T17:36:09,0.52,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"60135099999,GMME"
Morocco,2012-10-31,22.0,16.1,19.1,22.0,16.1,19.1,16.8,87.2,25.9,100.0,8.33,rain,,,,29.2,214.8,1003.5,81.3,6.2,63.2,5.5,3.0,,2012-10-31T06:46:11,2012-10-31T17:35:11,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"60135099999,remote,GMME"
Morocco,2012-11-01,23.1,19.0,20.8,23.1,19.0,20.8,18.9,89.0,15.0,100.0,12.5,rain,,,63.0,38.9,239.1,1010.2,89.1,5.4,176.9,15.3,7.0,,2012-11-01T06:47:05,2012-11-01T17:34:14,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"60135099999,GMME"
Morocco,2012-11-02,24.9,17.0,20.8,24.9,17.0,20.8,18.7,88.6,3.0,100.0,4.17,rain,,,,16.6,224.1,1015.5,81.7,6.3,125.4,10.7,5.0,,2012-11-02T06:48:00,2012-11-02T17:33:18,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"60135099999,GMME"
Morocco,2012-11-03,27.8,19.0,23.4,28.4,19.0,23.5,17.4,70.3,0.0,0.0,0.0,,,,,22.3,226.9,1014.7,72.6,7.3,174.0,15.1,7.0,,2012-11-03T06:48:55,2012-11-03T17:32:24,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60135099999,GMME"
Morocco,2012-11-04,27.8,20.0,23.7,27.9,20.0,23.8,17.1,67.6,0.0,0.0,0.0,,,,46.4,31.3,228.2,1014.7,87.4,7.8,118.3,10.2,4.0,,2012-11-04T06:49:50,2012-11-04T17:31:31,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60135099999,GMME"
Morocco,2012-11-05,22.0,16.0,19.3,22.0,16.0,19.3,17.1,87.4,2.0,100.0,4.17,rain,,,,25.9,25.5,1015.8,68.8,5.2,95.1,8.3,4.0,,2012-11-05T06:50:45,2012-11-05T17:30:39,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"60135099999,GMME"
Morocco,2012-11-06,23.0,16.0,19.0,23.0,16.0,19.0,16.6,86.4,0.5,100.0,4.17,rain,,,,14.8,353.4,1014.7,78.2,5.6,107.5,9.2,5.0,,2012-11-06T06:51:41,2012-11-06T17:29:49,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"60135099999,GMME"
Morocco,2012-11-07,22.9,16.0,19.5,22.9,16.0,19.5,16.1,81.3,1.0,100.0,4.17,rain,,,,31.3,37.5,1014.2,71.8,6.6,80.2,6.9,3.0,,2012-11-07T06:52:36,2012-11-07T17:29:01,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"60135099999,remote,GMME"
Morocco,2012-11-08,21.0,17.0,18.7,21.0,17.0,18.7,15.7,83.0,0.0,0.0,0.0,,,,,16.6,294.7,1013.8,76.5,7.3,122.8,10.6,5.0,,2012-11-08T06:53:32,2012-11-08T17:28:14,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60135099999,GMME"
Morocco,2012-11-09,21.0,12.0,16.6,21.0,12.0,16.6,13.1,81.6,5.1,100.0,8.33,rain,,,,18.4,246.5,1015.1,75.9,7.1,149.4,12.9,6.0,,2012-11-09T06:54:29,2012-11-09T17:27:28,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"60135099999,GMME"
Morocco,2012-11-10,19.1,13.1,16.1,19.1,13.1,16.1,13.0,82.4,5.1,100.0,4.17,rain,,,,16.6,234.4,1015.7,48.9,7.3,140.0,12.2,5.0,,2012-11-10T06:55:25,2012-11-10T17:26:44,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"60135099999,GMME"
Morocco,2012-11-11,17.8,13.7,15.6,17.8,13.7,15.6,9.9,69.8,11.9,100.0,8.33,rain,,,55.4,31.3,317.0,1014.6,78.7,6.8,74.6,6.4,3.0,,2012-11-11T06:56:22,2012-11-11T17:26:02,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"60135099999,remote,GMME"
Morocco,2012-11-12,17.0,9.0,13.1,17.0,9.0,13.1,8.6,75.0,2.0,100.0,4.17,rain,,,,22.3,10.2,1017.2,61.4,8.1,120.4,10.4,5.0,,2012-11-12T06:57:18,2012-11-12T17:25:21,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"60135099999,GMME"
Morocco,2012-11-13,19.1,9.8,13.7,19.1,9.6,13.7,10.2,80.5,0.0,0.0,0.0,,,,,11.9,211.7,1018.1,30.4,6.8,174.0,15.1,7.0,,2012-11-13T06:58:15,2012-11-13T17:24:42,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60135099999,remote,GMME"
Morocco,2012-11-14,21.1,10.0,14.7,21.1,10.0,14.7,10.4,78.1,0.0,0.0,0.0,,,,,13.0,37.9,1013.5,25.9,7.5,176.7,15.3,7.0,,2012-11-14T06:59:12,2012-11-14T17:24:04,0.02,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"60135099999,GMME"
Morocco,2012-11-15,22.0,10.1,15.5,22.0,10.1,15.5,11.8,80.6,0.0,0.0,0.0,,,,,14.8,232.7,1013.9,28.6,6.3,166.3,14.4,6.0,,2012-11-15T07:00:09,2012-11-15T17:23:28,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60135099999,GMME"
Morocco,2012-11-16,23.0,12.0,16.6,23.0,12.0,16.6,13.0,81.0,0.0,0.0,0.0,,,,,13.0,191.8,1012.9,65.8,5.8,164.3,14.0,6.0,,2012-11-16T07:01:06,2012-11-16T17:22:54,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60135099999,GMME"
Morocco,2012-11-17,20.0,15.0,17.1,20.0,15.0,17.1,14.1,82.6,4.1,100.0,4.17,rain,,,,27.7,221.2,1009.7,71.5,5.0,109.7,9.3,5.0,,2012-11-17T07:02:03,2012-11-17T17:22:22,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"60135099999,GMME"
