name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Morocco,1996-05-22,25.4,13.1,18.8,25.4,13.1,18.8,13.4,73.6,0.0,0.0,0.0,,,,,18.4,354.7,1020.9,18.8,9.2,,,,,1996-05-22T05:21:16,1996-05-22T19:27:05,0.16,Clear,Clear conditions throughout the day.,clear-day,60135099999
Morocco,1996-05-23,26.7,13.1,20.7,26.7,13.1,20.7,13.0,63.3,0.0,0.0,0.0,,,,,14.8,9.2,1017.0,7.5,10.0,,,,,1996-05-23T05:20:44,1996-05-23T19:27:47,0.2,Clear,Clear conditions throughout the day.,clear-day,60135099999
Morocco,1996-05-24,26.1,16.0,20.1,26.1,16.0,20.1,16.3,80.2,0.0,0.0,0.0,,,,,9.4,249.2,1016.5,61.3,7.4,,,,,1996-05-24T05:20:13,1996-05-24T19:28:28,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,60135099999
Morocco,1996-05-25,24.1,12.1,18.1,24.1,12.1,18.1,15.3,85.0,0.0,0.0,0.0,,,,,11.2,310.2,1018.4,50.9,6.0,,,,,1996-05-25T05:19:44,1996-05-25T19:29:08,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,60135099999
Morocco,1996-05-26,25.1,13.9,18.9,25.1,13.9,18.9,15.7,83.9,0.0,0.0,0.0,,,,,14.8,358.6,1021.1,33.3,7.3,,,,,1996-05-26T05:19:17,1996-05-26T19:29:48,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,60135099999
Morocco,1996-05-27,26.2,13.1,18.8,26.2,13.1,18.8,16.2,86.3,0.0,0.0,0.0,,,,,11.2,40.3,1019.4,18.0,7.5,,,,,1996-05-27T05:18:51,1996-05-27T19:30:28,0.33,Clear,Clear conditions throughout the day.,clear-day,60135099999
Morocco,1996-05-28,29.1,16.9,24.2,30.9,16.9,24.6,16.9,67.5,0.0,0.0,0.0,,,,,14.8,348.4,1015.1,30.0,7.9,,,,,1996-05-28T05:18:26,1996-05-28T19:31:07,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,60135099999
Morocco,1996-05-29,28.6,16.6,21.1,29.6,16.6,21.4,16.3,75.6,0.0,0.0,0.0,,,,,11.2,244.0,1013.0,35.4,7.6,,,,,1996-05-29T05:18:03,1996-05-29T19:31:45,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,60135099999
Morocco,1996-05-30,27.1,17.7,22.6,28.7,17.7,22.7,18.9,80.7,0.0,0.0,0.0,,,,,14.8,336.8,1014.2,30.9,5.6,,,,,1996-05-30T05:17:42,1996-05-30T19:32:22,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,60135099999
Morocco,1996-05-31,24.2,19.6,21.7,24.2,19.6,21.7,19.1,85.4,0.0,0.0,0.0,,,,,11.2,250.3,1018.1,37.5,5.8,,,,,1996-05-31T05:17:22,1996-05-31T19:32:58,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,60135099999
Morocco,1996-06-01,23.1,17.1,19.9,23.1,17.1,19.9,17.6,86.9,0.0,0.0,0.0,,,,,14.8,283.4,1021.3,57.5,6.9,,,,,1996-06-01T05:17:04,1996-06-01T19:33:34,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,60135099999
Morocco,1996-06-02,21.4,13.9,17.1,21.4,13.9,17.1,14.3,84.5,0.0,0.0,0.0,,,,,18.4,305.1,1020.4,54.6,6.5,,,,,1996-06-02T05:16:47,1996-06-02T19:34:09,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,60135099999
Morocco,1996-06-03,23.6,13.1,19.8,23.6,13.1,19.8,16.1,80.3,0.0,0.0,0.0,,,,,18.4,347.7,1016.6,40.0,7.9,,,,,1996-06-03T05:16:32,1996-06-03T19:34:43,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,60135099999
Morocco,1996-06-04,31.2,14.4,21.6,31.0,14.4,21.5,16.2,76.0,0.0,0.0,0.0,,,,,14.8,32.5,1011.5,0.0,7.4,,,,,1996-06-04T05:16:19,1996-06-04T19:35:16,0.59,Clear,Clear conditions throughout the day.,clear-day,60135099999
Morocco,1996-06-05,24.1,18.1,21.3,24.1,18.1,21.3,18.4,84.0,0.0,0.0,0.0,,,,,14.8,247.7,1015.6,55.7,5.7,,,,,1996-06-05T05:16:07,1996-06-05T19:35:48,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,60135099999
Morocco,1996-06-06,23.1,18.1,20.4,23.1,18.1,20.4,17.9,85.6,0.0,0.0,0.0,,,,,11.2,335.5,1017.6,93.1,5.5,,,,,1996-06-06T05:15:57,1996-06-06T19:36:19,0.66,Overcast,Cloudy skies throughout the day.,cloudy,60135099999
Morocco,1996-06-07,23.4,16.0,19.3,23.4,16.0,19.3,17.0,86.9,0.0,0.0,0.0,,,,,11.2,350.9,1018.1,73.3,7.2,,,,,1996-06-07T05:15:48,1996-06-07T19:36:50,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,60135099999
Morocco,1996-06-08,24.1,17.1,20.5,24.1,17.1,20.5,17.5,83.5,0.0,0.0,0.0,,,,,11.2,331.3,1019.2,76.7,6.8,,,,,1996-06-08T05:15:41,1996-06-08T19:37:19,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,60135099999
Morocco,1996-06-09,24.3,16.4,21.6,24.3,16.4,21.6,18.0,81.1,0.0,0.0,0.0,,,,,14.8,304.4,1019.4,70.0,5.9,,,,,1996-06-09T05:15:36,1996-06-09T19:37:47,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,60135099999
Morocco,1996-06-10,25.4,17.1,21.4,25.4,17.1,21.4,18.0,82.2,0.0,0.0,0.0,,,,,11.2,332.0,1019.2,61.1,7.0,,,,,1996-06-10T05:15:32,1996-06-10T19:38:14,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,60135099999
Morocco,1996-06-11,27.1,19.1,23.3,28.3,19.1,23.4,19.7,81.2,0.0,0.0,0.0,,,,,14.8,316.6,1017.8,58.2,5.9,,,,,1996-06-11T05:15:30,1996-06-11T19:38:39,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,60135099999
Morocco,1996-06-12,31.1,19.1,24.8,33.1,19.1,25.3,19.2,73.8,0.0,0.0,0.0,,,,,18.4,41.4,1016.1,58.8,8.3,,,,,1996-06-12T05:15:29,1996-06-12T19:39:04,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,60135099999
Morocco,1996-06-13,30.6,20.1,26.0,32.0,20.1,26.6,18.8,65.8,0.0,0.0,0.0,,,,,11.2,17.3,1015.5,64.4,9.7,,,,,1996-06-13T05:15:30,1996-06-13T19:39:27,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,60135099999
Morocco,1996-06-14,31.6,20.9,24.8,32.0,20.9,25.0,18.1,68.4,0.0,0.0,0.0,,,,,11.2,303.9,1013.9,44.2,9.6,,,,,1996-06-14T05:15:32,1996-06-14T19:39:50,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,60135099999
Morocco,1996-06-15,26.1,21.1,22.7,26.1,21.1,22.7,20.5,87.7,0.0,0.0,0.0,,,,,11.2,266.4,1015.2,76.0,6.4,,,,,1996-06-15T05:15:36,1996-06-15T19:40:11,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,60135099999
Morocco,1996-06-16,24.9,21.1,22.5,24.9,21.1,22.5,19.5,83.5,0.0,0.0,0.0,,,,,11.2,298.5,1016.4,80.8,6.8,,,,,1996-06-16T05:15:41,1996-06-16T19:40:30,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,60135099999
Morocco,1996-06-17,24.6,20.1,22.0,24.6,20.1,22.0,19.1,84.4,0.0,0.0,0.0,,,,,14.8,337.4,1015.8,75.5,6.5,,,,,1996-06-17T05:15:48,1996-06-17T19:40:48,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,60135099999
Morocco,1996-06-18,25.4,20.9,22.5,25.4,20.9,22.5,19.3,82.3,0.0,0.0,0.0,,,,,14.8,269.0,1015.9,90.0,6.2,,,,,1996-06-18T05:15:56,1996-06-18T19:41:05,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,60135099999
Morocco,1996-06-19,24.6,21.1,22.7,24.6,21.1,22.7,19.6,82.9,0.0,0.0,0.0,,,,,11.2,288.3,1015.3,73.3,5.8,,,,,1996-06-19T05:16:06,1996-06-19T19:41:21,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,60135099999
